檔案id,體型,檔案長寬,腳長,身長,臀寬,腰寬,胸寬
S_10_IUV.png,S,"(679, 679)",361,234,147,141,115
S_11_IUV.png,S,"(375, 425)",187,120,65,56,53
S_12_IUV.png,S,"(470, 300)",169,103,62,55,49
S_16_IUV.png,S,"(937, 626)",326,204,141,116,124
S_17_IUV.png,S,"(720, 600)",345,172,123,108,99
S_1_IUV.png,S,"(645, 405)",318,155,100,89,82
S_21_IUV.png,S,"(470, 300)",172,106,71,61,41
S_23_IUV.png,S,"(260, 260)",114,63,46,38,37
S_24_IUV.png,S,"(280, 230)",102,57,34,31,32
S_26_IUV.png,S,"(1000, 1000)",408,268,134,131,123
S_27_IUV.png,S,"(470, 299)",188,116,74,65,68
S_28_IUV.png,S,"(900, 600)",381,187,142,113,118
S_29_IUV.png,S,"(900, 600)",340,184,99,104,100
S_2_IUV.png,S,"(560, 420)",239,153,98,84,70
S_30_IUV.png,S,"(900, 600)",374,202,128,109,95
S_32_IUV.png,S,"(350, 350)",155,96,51,51,48
S_33_IUV.png,S,"(1024, 640)",475,245,170,150,134
S_34_IUV.png,S,"(1062, 736)",463,293,148,151,144
S_35_IUV.png,S,"(640, 640)",268,175,118,104,84
S_36_IUV.png,S,"(800, 800)",368,231,131,124,117
S_37_IUV.png,S,"(640, 427)",251,162,98,80,74
S_38_IUV.png,S,"(800, 800)",387,185,106,108,100
S_39_IUV.png,S,"(700, 541)",239,172,117,118,150
S_3_IUV.png,S,"(904, 634)",390,225,150,113,137
S_40_IUV.png,S,"(322, 250)",144,89,66,54,48
S_43_IUV.png,S,"(468, 334)",200,123,68,59,72
S_44_IUV.png,S,"(640, 640)",292,149,100,90,78
S_45_IUV.png,S,"(240, 240)",115,73,50,37,45
S_46_IUV.png,S,"(500, 500)",225,137,82,73,65
S_47_IUV.png,S,"(470, 300)",191,126,67,65,61
S_48_IUV.png,S,"(470, 300)",180,119,85,76,73
S_49_IUV.png,S,"(327, 245)",143,83,47,34,47
S_50_IUV.png,S,"(350, 350)",140,86,55,47,41
S_51_IUV.png,S,"(600, 600)",245,161,85,83,75
S_52_IUV.png,S,"(350, 350)",142,95,47,49,43
S_5_IUV.png,S,"(450, 318)",168,95,56,63,56
S_6_IUV.png,S,"(500, 334)",196,116,75,53,40
S_7_IUV.png,S,"(500, 330)",224,140,81,64,72
S_8_IUV.png,S,"(385, 385)",176,112,53,65,57
